Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Collapsible Row Heading 1 (product.metafields.custom.collapsible_row_heading_1),Collapsible Row Heading 2 (product.metafields.custom.collapsible_row_heading_2),Collapsible Row Heading 3 (product.metafields.custom.collapsible_row_heading_3),Description Tab (product.metafields.custom.description_tab),Meaning (product.metafields.custom.meaning),Pre-oder Message (product.metafields.custom.pre_oder_message),Test (product.metafields.custom.test),theme.upsell (product.metafields.custom.theme_upsell),title (product.metafields.custom.title),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-wisdom-bracelet-no-charm,The Wisdom Bracelet,"<p><meta charset=""utf-8""><strong>AMETHYST</strong> raises your frequency. This gemstone sharpens your intuition and calms your spirit, helping you move with <strong>WISDOM</strong> and grace. Wear it to access the higher version of you—the one who already knows.</p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,purple,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,110.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Amathystnocharm.png?v=1762352357,1,"",false,,,191,,,,,,,,,,,,,,,"Intuition, Wisdom, Calm",,,ruby-1,Wear This For Your Highest Self,,,,,purple,,,,,,,,,,lb,,,active
the-self-love-bracelet-with-14k-gold-balls-xo-charm,The Self-Love Bracelet - with 14k Gold Balls & XO Charm,"<p><meta charset=""utf-8""><span data-sheets-root=""1""><strong>ROSE QUARTZ</strong> opens your heart without asking for permission. It reminds you to <strong>LOVE</strong> yourself fully, forgive deeply, and lead with compassion. Wear it as a daily act of self-love—and watch how the world reflects it back.</span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,rose-quartz,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,349.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Rose_Quartz_with_gold_balls_and_XO_brighter.png?v=1762720907,1,"",false,,,191,,,,,,,,,,,,,,,"Self-Love, Compassion, Forgiveness",,,kyanite-1,Wear This For Self-Love,,,,,rose-quartz,,,,,,,,,,lb,,,active
curate-an-intentional-stack-and-recieve-10-off,Curate Your Stack For 10% Off,"<p>Set your intention and curate your favorite XO Maria Louise products for 10% off your bundle. </p>
    <div style=""border: 2px dashed red; padding: 10px;"" class=""byob-bundle-description-warning"">
        <p><strong>Note: (Not visible on storefront)<br></strong></p>
        <ol>
            <li>Do not change the product options. Otherwise, this bundle cannot work.<br>
</li>
            <li>Deleting or turning this bundle product to draft will stop the bundle from working.<br>
</li>
        </ol>
    </div>
",BYOB,Uncategorized,BYOB,BYOB display,true,Title,Default Title,,,,,,,,,0.0,,continue,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/HB__8722.jpg?v=1761277917,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
curate-an-intentional-stack-and-recieve-10-off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/4_89b01226-8db5-4fe6-80cc-c89c5e176768.png?v=1761282814,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curate-an-intentional-stack-and-recieve-10-off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/13.png?v=1761282834,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
free-gift-selenite-heart-bowl,Selenite Heart Bowl,"<p>We want your XO bracelet to feel as powerful every time you wear it as the day you first put it on. That’s why ,for a limited time, every bracelet purchase comes with a complimentary Selenite Heart Bowl, the perfect place to rest and recharge your gemstones when you’re not wearing them.</p>",XO Maria Louise,Home & Garden > Decor > Decorative Bowls,Bracelet,free-gift,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Selenite.jpg?v=1758718171,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,white,stone,,,,,,,,,lb,,,unlisted
turquoise-14k-gold,The Protector Bracelet - 14k Gold XO,"<p><strong>TURQUOISE</strong> is more than beautiful, it’s your<strong> GUARDIAN</strong>. This bracelet protects your energy, calms your spirit, and blocks out the noise so you can move through the world with ease and grace.</p>
<p>Wear it as your sacred shield, steady, strong, and unapologetically you.</p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"14k, Bracelet, Gold, New Arrivals",true,Color,turquoise,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,285.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Turquoise.jpg?v=1758074056,1,"",false,,,,,adult,,,,,,,,,,,,,"Peace, Protection",,,blue-sapphire-diamond,Wear This As Your Sacred Shield,,,adults,beaded,turquoise,,gold,fine-jewelry,unisex,,,,,,lb,,285.00,active
grey-tanzanite-gold,The Rebirth Bracelet - 14k Gold,"<p><span data-sheets-root=""1""><strong>TANZANITE</strong> doesn’t wait for permission. It pushes you into the next chapter with courage, and high-vibe energy. Wear it when you’re ready to <strong>TRANSFORM</strong>, speak up, and step into your power.</span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"14k, Bracelet, Gold, New Arrivals",true,Color,grey-tanzanite,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,325.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Gold_d924030d-d514-4125-a82f-d536171f7945.jpg?v=1757642290,1,"",false,,,,,adult,,,,,,,,,,,,,"Clarity, Courage, Transformation",,,citrine-14k-gold,Wear This to Transform,,,adults,beaded; xo,grey-tanzanite,,14-k-gold,fine-jewelry,female; unisex,,,,,,lb,,,active
xo-necklace-in-14k-gold-with-natural-vs1-diamonds,The Self-Love Necklace - 14K Gold and Natural Diamonds,"<p>Our diamond-accented XO Necklace takes intention to the next level. Set in 14K gold, brilliant diamonds bring radiance and clarity to your everyday. More than jewelry, it’s a symbol of the love you carry and the light you bring into every room. Elegant, timeless, and infused with meaning—this is your reminder to shine from a place of love.</p>
<p> </p>",XO Maria Louise,Apparel & Accessories > Jewelry > Necklaces,Necklace,"Diamond, Necklace, pre order",true,Jewelry Material,Diamond,,,,,,,,,0.0,shopify,continue,manual,1100.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Diamond_c7483917-fba9-4829-bdde-aa13394581f7.jpg?v=1756950184,1,"",false,,"Our diamond-accented XO Necklace takes intention to the next level. Set in 14K gold, brilliant diamonds bring radiance and clarity to your everyday. More than jewelry, it’s a symbol of the love you carry and the light you bring into every room. Elegant, timeless, and infused with meaning—this is your reminder to shine from a place of love. Limited Edition",196,,,,,,,,,,,,,,"<h3>Diamonds Details:</h3>
<ul>
<li>14K gold XO pendant with VS1 Natural Diamonds  (5/16"" x 1/2"")</li>
<li>Chain length can be worn  8"" or 9"", you choose.</li>
<li>Ethically crafted with love</li>
</ul>

",,Estimated Delivery: October 6th–13th,,grey-tanzanite-gold,,,'1,,,,,,,,,,,,,lb,,,active
xo-necklace-in-14k-gold-with-natural-vs1-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Diamond_4c26f0a4-a4f1-4213-a953-44c4bea6b98d.jpg?v=1756950184,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xo-necklace-in-14k-gold,The Self-Love Necklace - 14K Gold,"<p><span>Crafted in 14K gold, the XO Necklace is a timeless reminder that love is the greatest intention you can wear. Designed to rest close to your heart, it symbolizes self-love, connection, and abundance. Whether it’s a gift or a personal keepsake, this necklace ensures love is always with you—elegant, effortless, and everlasting. </span></p>
<p><span><strong>LIMITED RELEASE - </strong></span><strong>Available while supplies last.</strong></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Necklaces,Necklace,"14k, Gold, Necklace, pre order",true,Jewelry Material,14k Gold,,,,,,,,,0.0,shopify,continue,manual,550.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Gold_62ecf89e-1825-4e9f-a683-8dd38918157c.jpg?v=1756950185,1,"",false,,,196,,,,,,,,,,,,,,"<h4>14K Gold Details:</h4>
<ul>
<li>14K gold  XO pendant (5/16"" x 1/2"")</li>
<li>Chain length can be worn 8"" or 9"", you choose.</li>
<li>Ethically crafted with love</li>
</ul>",,Estimated Delivery: October 6th–13th,,blue-sapphire-with-diamonds-and-gold-balls,,,,,,,,,,,,,,,,lb,,,active
xo-necklace-in-14k-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Gold_272e36c9-188b-44f5-9bd5-4ef4bc027519.jpg?v=1756950185,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-sapphire-with-diamonds-and-gold-balls,The Clarity Bracelet - Diamonds and 14k Gold Balls,"<div>
<strong>SAPPHIRE</strong><span><strong> </strong>sharpens your mind and centers your energy. This stone fuels discipline, clears distraction, and helps you move with unshakable </span><strong>CLARITY</strong><span>. Wear this when it’s time to lock in and lead.</span><br>
</div>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"Bracelet, Gold Balls, Sapphire",true,Color,blue-sapphire,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,1329.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Diamond-with-Gold-Balls.jpg?v=1754477238,1,"",false,Sapphire With Diamonds and 14Kt Gold Balls,,,,,,,,,,,,,,,,"<p>Handmade with care, our XO bracelets feature a 6.25"" stretch cord for a comfortable fit. Crafted with the highest quality gemstones, each piece is unique, with natural variations in color. Choose from a 14kt yellow gold charm or 14kt gold with VS1 diamonds for a touch of elegance. <a href=""#"" style=""text-decoration:underline;text-underline-offset:3px;"">Custom sizes available upon request.</a></p>","Discipline, Clarity, Focus",,,amethyst-love-dove,Wear This to Lock In,,,,,blue-sapphire,,,,,,,,,,lb,,,active
blue-sapphire-with-diamonds-and-gold-balls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/IMG_1624.jpg?v=1760587464,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-sapphire-with-diamonds-and-gold-balls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/IMG_2952.jpg?v=1760587464,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-sapphire-diamond,The Clarity Bracelet - 14k Gold XO,"<p><strong>SAPPHIRE </strong>sharpens your mind and centers your energy. This stone fuels discipline, clears distraction, and helps you move with unshakable <strong>CLARITY</strong>. Wear this when it’s time to lock in and lead.</p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"Bracelet, Sapphire",true,Color,blue-sapphire,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,1149.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Diamond_396e76bc-8233-4080-a235-810c36a4bc30.jpg?v=1754477120,1,"",false,,,,,adult,,,,,,,,,,,,"<p>Handmade with care, our XO bracelets feature a 6.25"" stretch cord for a comfortable fit. Crafted with the highest quality gemstones, each piece is unique, with natural variations in color. Choose from a 14kt yellow gold charm or 14kt gold with VS1 diamonds for a touch of elegance. <a href=""#"" style=""text-decoration:underline;text-underline-offset:3px;"">Custom sizes available upon request.</a></p>","Discipline, Clarity, Focus",,,amethyst-love-dove,Wear This to Lock In,,,adults,,blue-sapphire,,diamond,fine-jewelry,unisex,,,,,,lb,,,active
blue-sapphire-diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/IMG_1627.jpg?v=1754782740,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrine-14k-gold,The Abundance Bracelet - 14k Gold,"<p><strong>Citrine</strong> doesn’t hope for abundance—it attracts it. This bracelet fuels your confidence, lights up your creativity, and draws success toward you like a magnet. Wear it when you’re ready to walk in your worth and claim everything you’ve earned.</p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"Bracelet, Yellow",true,Color,citrine,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,279.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/2.jpg?v=1753343082,1,"",false,,,,,adult,,,,,,,,,,,,"<p>Handmade with care, our XO bracelets feature a 6.25"" stretch cord for a comfortable fit. Crafted with the highest quality gemstones, each piece is unique, with natural variations in color. Choose from a 14kt yellow gold charm or 14kt gold with VS1 diamonds for a touch of elegance. <a href=""#"" style=""text-decoration:underline;text-underline-offset:3px;"">Custom sizes available upon request.</a></p>","Abundance, Confidence, Creativity",,,blue-sapphire-diamond,Wear This For Abundance,,'1,adults,charm,citrine,,gold,fine-jewelry,unisex,,,,,,lb,,,active
citrine-14k-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/IMG_2106.jpg?v=1757036154,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-tanzanite-diamond,The High Vibe Bracelet - Diamond XO,"<p><span data-sheets-root=""1""><strong>TANZANITE</strong> doesn’t wait for permission. It pushes you into the next chapter with courage, and high-vibe energy. Wear it when you’re ready to <strong>TRANSFORM</strong>, speak up, and step into your power.</span></p>
<p><strong><span data-sheets-root=""1"">Purple Tanzanite </span></strong></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"Bracelet, Purple, Tanzanite",true,Color,purple-tanzanite,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,1149.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Diamondd.jpg?v=1754503978,1,"",false,Tanzanite Gemstone - Diamond,,,,adult,,,,,,,,,,,,"<p>Handmade with care, our XO bracelets feature a 6.25"" stretch cord for a comfortable fit. Crafted with the highest quality gemstones, each piece is unique, with natural variations in color. Choose from a 14kt yellow gold charm or 14kt gold with VS1 diamonds for a touch of elegance. <a href=""#"" style=""text-decoration:underline;text-underline-offset:3px;"">Custom sizes available upon request.</a></p>","Clarity, Courage, Transformation",,,citrine-14k-gold,Wear This to Transform,,,adults,,purple-tanzanite,,diamond,fine-jewelry,unisex,,,,,,lb,,,active
purple-tanzanite-diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/IMG_1757-a.jpg?v=1757036941,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-tanzanite-diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0664/7198/5288/files/IMG_1631_bcd93e32-2dbc-4a59-909e-004e4cb25521.jpg?v=1757036919,3,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
